what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1306285506149
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1306285515089
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepInto",1306285515162
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1306285529965
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285534813
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285540703
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285542227
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306285543175
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306285555739
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306285559959
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306285563363
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306285568272
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285568587
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285572809
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1306285579825
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1306285584247
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285584262
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306285587420
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1306285591092
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285593738
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285595898
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1306285599115
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285599134
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1306285603467
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1306285603573
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1306285606212
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1306285607060
opened,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1306285607443
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1306285610052
closed,editor,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1306285641421
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1306285644666
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285644678
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306285646612
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1306285647081
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1306285647115
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306285650626
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1306285651044
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1306285651063
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306285664732
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1306285668991
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285675545
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285679250
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285683044
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306285686681
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306285687401
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306285713512
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1306285717548
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306285719762
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1306285723879
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285725993
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1306285734823
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285734836
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285734959
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1306285741373
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1306285741479
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1306285743791
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1306285761041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285763427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285772960
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1306285780538
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306285780551
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1306285793229
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306285797019
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306285800746
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285806006
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285820945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306285822883
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306287064815
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306293817287
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306296563164
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306296566329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306296615810
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306296619980
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306296620810
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1306296620849
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306296622204
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306296632114
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1306296635641
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1306296638123
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306296644746
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306296649710
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306296730894
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306297254181
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306297255896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306297260922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306297261914
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299668617
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299671769
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299810418
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299810857
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299861025
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1306299887922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299889887
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299892999
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1306299903698
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306299909469
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299911642
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299911944
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1306299940072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306299941907
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301096917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301100070
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301210706
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301223317
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306301234338
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301235493
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301235775
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306301336536
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301337154
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301337806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301338072
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306301340415
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301342123
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306301343726
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301344642
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306301345855
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301347093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301372667
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301414588
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301421404
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301442732
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301447253
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301493806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306301517082
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301517618
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1306301538584
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1306301539630
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306301542907
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301548972
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301549392
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306301553240
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301569387
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301569710
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1306301573654
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301579641
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301579984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301585942
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301703467
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301739823
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301814737
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301817126
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306301821909
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1306301865424
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1306301867028
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1306301867914
